year,prefecture,population,gdp2015,dis_expen,maintain_expen,restore_expen
2020,Akita,959502,3470086,5060986,10963895,5060986
2020,Yamagata,1068027,4238771,9708485,11909960,9708485
2020,Fukushima,1833152,7795942,57189933,21353991,57189933
2020,Ibaraki,2867009,13749691,6204418,9141388,6191215
2020,Tochigi,1933146,8926503,26888691,6526909,26888691
2020,Gunma,1939110,8675322,13631951,4738824,13631951
2020,Saitama,7344765,22754562,8783449,14712314,8783449
2020,Chiba,6284480,20747296,4786075,2811800,4786075
2020,Tokyo,14047594,109419920,3428195,107841280,3427290
2020,Kanagawa,9237337,34027888,5493979,10386579,5493685
2020,Niigata,2201272,8848324,13812235,20075452,13812235
2020,Toyama,1034814,4706552,1125818,8204711,1125818
2020,Ishikawa,1132526,4553240,2045712,7059416,2045712
2020,Fukui,766863,3570965,786011,5530619,782123
2020,Yamanashi,809974,3571078,4730023,3447624,4730023
2020,Nagano,2048011,8307852,39252625,11784425,39252492
2020,Gifu,1978742,7699574,8729225,10543389,8729225
2020,Shizuoka,3633202,17143593,9280680,8352987,9280680
2020,Aichi,7542415,39560650,705625,21579372,705561
2020,Mie,1770254,8326128,7422164,2691178,7422164
2020,Shiga,1413610,6749271,111545,2846666,111541
2020,Kyoto,2578087,10205365,4901059,3644904,4901059
2020,Osaka,8837685,39813745,832270,24884194,830033
2020,Hyogo,5465002,21843472,2053089,10469431,2037897
2020,Nara,1324473,3678889,2344226,4388764,2344226
2020,Wakayama,922584,3621092,5007672,4480198,5006959
2020,Tottori,553407,1829133,2333837,4034607,2333837
2020,Shimane,671126,2599516,2263542,10729741,2263542
2020,Okayama,1888432,7506358,11821981,11258777,11821541
2020,Hiroshima,2799702,11671346,34012453,12397543,34012453
2020,Yamaguchi,1342059,6102099,4572620,4969406,4572620
2020,Tokushima,719559,3187711,2341335,7472876,2341335
2020,Kagawa,950244,3717062,306369,6226092,306369
2020,Ehime,1334841,4805952,12591845,3807828,12591845
2020,Kochi,691527,2325920,12093954,6336144,12093954
2020,Fukuoka,5135214,18845910,24996861,5737661,24996861
2020,Saga,811442,3039641,7232041,2117072,7232041
2020,Nagasaki,1312317,4530272,5206712,5392277,5206712
2020,Kumamoto,1738301,6060641,40415140,5284455,40415110
2020,Oita,1123852,4435896,9559841,4019681,9559841
2020,Miyazaki,1069576,3639100,6379097,5023246,6379096
2020,Kagoshima,1588256,5581813,13293214,4629379,13293214
2020,Okinawa,1467480,4229302,444377,3522778,444377
2019,Hokkaido,5259000,20822039,33068395,26749314,31816877
2019,Aomori,1253000,4521838,173462,13217488,173462
2019,Iwate,1226000,4820393,69636005,13836089,69636005
2019,Miyagi,2312000,9813003,90382845,3833527,90382845
2019,Akita,972000,3557553,14193021,6585852,14193021
2019,Yamagata,1080000,4319496,7921322,7947589,7921322
2019,Fukushima,1852000,7834100,36016786,23036610,36016786
2019,Ibaraki,2879000,14042669,3426955,9051106,3426351
2019,Tochigi,1943000,9313216,7672947,3906465,7672947
2019,Gunma,1949000,9202955,5512237,4764089,5512237
2019,Saitama,7342000,23438263,5503698,14844247,5503698
2019,Chiba,6283000,21268204,1031453,2513875,1031453
2019,Tokyo,14007000,114527888,2464051,108347627,2464051
2019,Kanagawa,9224000,35136908,1891446,12035377,1891446
2019,Niigata,2224000,9161689,8666697,11810182,8666697
2019,Toyama,1043000,4879156,1671174,6060353,1671174
2019,Ishikawa,1139000,4767854,2440846,4843195,2440846
2019,Fukui,771000,3684017,1813278,4660466,1811277
2019,Yamanashi,815000,3537593,5074310,3564700,5074310
2019,Nagano,2061000,8509727,20190427,10297821,20190427
2019,Gifu,1992000,7905119,11127870,9216654,11127870
2019,Shizuoka,3653000,17799572,4647278,8735249,4647278
2019,Aichi,7557000,40723091,667472,21054790,667460
2019,Mie,1783000,8182044,5737305,1915395,5737305
2019,Shiga,1416000,6918097,863809,2371104,863809
2019,Kyoto,2592000,10811614,11824015,3497308,11824015
2019,Osaka,8842000,41236331,1516009,26024735,1516009
2019,Hyogo,5488000,22260356,13584532,10613643,13584532
2019,Nara,1333000,3823946,3500260,4115482,3500260
2019,Wakayama,931000,3756320,7398186,3532593,7393026
2019,Tottori,557000,1918022,10378383,3909084,10378383
2019,Shimane,677000,2664622,3775190,9234375,3775190
2019,Okayama,1897000,7670134,23651999,10207104,23651999
2019,Hiroshima,2813000,12053743,28559033,10443981,28559033
2019,Yamaguchi,1357000,6221484,7283427,4327428,7283427
2019,Tokushima,728000,3244339,3391532,7115688,3391532
2019,Kagawa,958000,3968983,1672600,7035527,1672600
2019,Ehime,1346000,5115469,17597677,4120286,17576814
2019,Kochi,699000,2441810,14959531,5909538,14959531
2019,Fukuoka,5134000,19846875,28356316,5018319,28356316
2019,Saga,817000,3143725,4816780,2173568,4816780
2019,Nagasaki,1327000,4678311,2659467,5463503,2659467
2019,Kumamoto,1749000,6278159,37892059,5726556,37892059
2019,Oita,1134000,4546972,8396996,3195072,8396996
