prefecture,month,mean_ntl
Miyagi,2019-11-01,1.6483557248437957
Miyagi,2019-12-01,1.5703822975849864
Miyagi,2020-01-01,1.5430279800898332
Miyagi,2020-02-01,1.5491632449100414
Miyagi,2020-03-01,1.6007722222871914
Miyagi,2020-04-01,1.5065876454274592
Miyagi,2020-05-01,1.7575055960048382
Miyagi,2020-06-01,1.83652173326113
Miyagi,2020-07-01,1.2942450557400504
Miyagi,2020-08-01,1.4483433457930126
Miyagi,2020-09-01,1.3304731440915103
Miyagi,2020-10-01,1.6026661473936583
Miyagi,2020-11-01,1.7101397291255804
Miyagi,2020-12-01,2.9037162392766307
Miyagi,2021-01-01,2.507882982921422
Miyagi,2021-02-01,2.021447221505297
Miyagi,2021-03-01,1.7340363012007134
Miyagi,2021-04-01,1.656850136478907
Miyagi,2021-05-01,1.7002145889760552
Miyagi,2021-06-01,1.8828689435669463
Miyagi,2021-07-01,1.4995706085385083
Miyagi,2021-08-01,1.8635344239130676
Miyagi,2021-09-01,1.5835149223474507
Miyagi,2021-10-01,1.6557243701047275
Miyagi,2021-11-01,1.6048919934907933
Miyagi,2021-12-01,1.698937932275984
Miyagi,2022-01-01,2.59551621420823
Miyagi,2022-02-01,2.205811618789536
Miyagi,2022-03-01,1.861155685528492
Miyagi,2022-04-01,1.7741424925390203
Miyagi,2022-05-01,1.8296280896507373
Miyagi,2022-06-01,1.588281223448537
Miyagi,2022-07-01,1.710818169224878
Miyagi,2022-08-01,1.1540462390224775
Miyagi,2022-09-01,1.4260852536457111
Miyagi,2022-10-01,1.633742567696469
Miyagi,2022-11-01,1.577251712206281
Miyagi,2022-12-01,1.85923709931114
Miyagi,2023-01-01,2.8715140931684435
Miyagi,2023-02-01,2.050857500628958
Miyagi,2023-03-01,1.729433432124503
Miyagi,2023-04-01,1.5677317953452874
Miyagi,2023-05-01,1.871978152509137
Miyagi,2023-06-01,1.7898716132033785
Miyagi,2023-07-01,1.805764212597272
Miyagi,2023-08-01,1.6060165736677094
Miyagi,2023-09-01,1.4725656294993057
Miyagi,2023-10-01,1.737264820462637
Miyagi,2023-11-01,1.756164514401314
Miyagi,2023-12-01,1.7613897723038303
Miyagi,2024-01-01,1.829744352732091
Miyagi,2024-02-01,1.846469555381001
Miyagi,2024-03-01,1.6590682980257976
Miyagi,2024-04-01,1.82540292938018
Miyagi,2024-05-01,1.8011133508522823
Miyagi,2024-06-01,1.9620253972122037
Miyagi,2024-07-01,1.7166764725429016
Miyagi,2024-08-01,1.7091877044578911
Miyagi,2024-09-01,1.4186518111092452
Miyagi,2024-10-01,1.7766250158502896
