"eq_id","prefecture","mean_pga","max_pga"
"usb000skys","Shizuoka",NA,NA
"usb000skys","Tochigi",NA,NA
"usb000skys","Tokushima",NA,NA
"usb000skys","Tokyo",NA,NA
"usb000skys","Tottori",NA,NA
"usb000skys","Toyama",NA,NA
"usb000skys","Wakayama",NA,NA
"usb000skys","Yamagata",0.152008503675461,0.172751381993294
"usb000skys","Yamaguchi",NA,NA
"usb000skys","Yamanashi",NA,NA
"usb000syza","Aichi",0.41805574297905,0.996444299007121
"usb000syza","Akita",NA,NA
"usb000syza","Aomori",NA,NA
"usb000syza","Chiba",0.262249171733856,0.496868411859589
"usb000syza","Ehime",NA,NA
"usb000syza","Fukui",0.265764206647873,0.559635192725435
"usb000syza","Fukuoka",NA,NA
"usb000syza","Fukushima",0.399449706077576,0.749236817118214
"usb000syza","Gifu",0.452892422676086,2.27929092329303
"usb000syza","Gunma",0.855418860912323,3.24257244892563
"usb000syza","Hiroshima",NA,NA
"usb000syza","Hokkaido",NA,NA
"usb000syza","Hyogo",NA,NA
"usb000syza","Ibaraki",0.44089487195015,0.583016171389809
"usb000syza","Ishikawa",0.63273423910141,2.06251920184462
"usb000syza","Iwate",NA,NA
"usb000syza","Kagawa",NA,NA
"usb000syza","Kagoshima",NA,NA
"usb000syza","Kanagawa",0.402892827987671,0.699366906785408
"usb000syza","Kochi",NA,NA
"usb000syza","Kumamoto",NA,NA
"usb000syza","Kyoto",NA,NA
"usb000syza","Mie",0.185675784945488,0.317957254642103
"usb000syza","Miyagi",NA,NA
"usb000syza","Miyazaki",NA,NA
"usb000syza","Nagano",3.00549912452698,17.6875978152747
"usb000syza","Nagasaki",NA,NA
"usb000syza","Nara",NA,NA
"usb000syza","Niigata",1.21659541130066,11.800655510834
"usb000syza","Oita",NA,NA
"usb000syza","Okayama",NA,NA
"usb000syza","Okinawa",NA,NA
"usb000syza","Osaka",NA,NA
"usb000syza","Saga",NA,NA
"usb000syza","Saitama",0.553600549697876,1.38787724005964
"usb000syza","Shiga",0.158392816781998,0.302745744488887
"usb000syza","Shimane",NA,NA
"usb000syza","Shizuoka",0.499387681484222,1.03567923871574
"usb000syza","Tochigi",0.275719195604324,0.541641132366589
"usb000syza","Tokushima",NA,NA
