eq_id,prefecture,mean_pga,max_pga,date,depth,magnitude
us6000m0xl,Nagano,2.58447933197021,13.8696712340561,2024-01-01,10,7.5
us6000m0xl,Niigata,8.80088138580322,41.5485096309074,2024-01-01,10,7.5
us6000m0xl,Toyama,15.074423789978,40.4617424314834,2024-01-01,10,7.5
us6000m0xl,Yamagata,2.30286741256714,7.06064308312945,2024-01-01,10,7.5
us7000mcpi,Ehime,13.1795034408569,61.1045107563192,2024-04-17,32,6.3
us7000mcpi,Hiroshima,1.98422110080719,8.99560846774134,2024-04-17,32,6.3
us7000mcpi,Kochi,5.4812593460083,42.5468548820753,2024-04-17,32,6.3
us7000mcpi,Kumamoto,1.68617284297943,8.94995850678538,2024-04-17,32,6.3
us7000mcpi,Miyazaki,1.97234070301056,11.54441737274,2024-04-17,32,6.3
us7000mcpi,Oita,4.96405458450317,24.0275808703252,2024-04-17,32,6.3
us7000mcpi,Yamaguchi,1.59987688064575,11.426134673601,2024-04-17,32,6.3
us6000nith,Kagoshima,4.77351760864258,18.9331517762364,2024-08-08,24,7.1
us6000nith,Miyazaki,7.34911584854126,32.153628953265,2024-08-08,24,7.1
us7000nu90,Fukui,1.66566145420074,5.95653450127335,2024-11-26,8,6.1
us7000nu90,Ishikawa,5.02099657058716,13.0976357759182,2024-11-26,8,6.1
us7000nu90,Toyama,2.96392869949341,8.77019671574809,2024-11-26,8,6.1
us6000pjny,Kagoshima,6.14685821533203,16.9959784470679,2025-01-13,39,6.8
us6000pjny,Kochi,1.10461807250977,5.34756289483574,2025-01-13,39,6.8
us6000pjny,Kumamoto,4.38507509231567,11.0839007467212,2025-01-13,39,6.8
us6000pjny,Miyazaki,12.0364751815796,27.2385712723955,2025-01-13,39,6.8
us6000pjny,Oita,2.55623197555542,7.5064399452838,2025-01-13,39,6.8
